id,municipality,state,latitude,longitude
0,Abadia de Goiás,Goiás,-16.7573,-49.4412
1,Abadia dos Dourados,Minas Gerais,-18.4831,-47.3916
2,Abadiânia,Goiás,-16.197,-48.7057
3,Abaeté,Minas Gerais,-19.1551,-45.4444
4,Abaetetuba,Pará,-1.72183,-48.8788
5,Abaiara,Ceará,-7.34588,-39.0416
6,Abaíra,Bahia,-13.2488,-41.6619
7,Abaré,Bahia,-8.72073,-39.1162
8,Abatiá,Paraná,-23.3049,-50.3133
9,Abdon Batista,Santa Catarina,-27.6126,-51.0233
10,Abel Figueiredo,Pará,-4.95333,-48.3933
11,Abelardo Luz,Santa Catarina,-26.5716,-52.3229
12,Abre Campo,Minas Gerais,-20.2996,-42.4743
13,Abreu e Lima,Pernambuco,-7.90072,-34.8984
14,Abreulândia,Tocantins,-9.62101,-49.1518
15,Acaiaca,Minas Gerais,-20.359,-43.1439
16,Açailândia,Maranhão,-4.94714,-47.5004
17,Acajutiba,Bahia,-11.6575,-38.0197
18,Acará,Pará,-1.95383,-48.1985
19,Acarape,Ceará,-4.22083,-38.7055
20,Acaraú,Ceará,-2.88769,-40.1183
21,Acari,Rio Grande do Norte,-6.4282,-36.6347
22,Acauã,Piauí,-8.21954,-41.0831
23,Aceguá,Rio Grande do Sul,-31.8665,-54.1615
24,Acopiara,Ceará,-6.08911,-39.448
25,Acorizal,Mato Grosso,-15.194,-56.3632
26,Acrelândia,Acre,-9.82581,-66.8972
27,Acreúna,Goiás,-17.396,-50.3749
28,Açucena,Minas Gerais,-19.0671,-42.5419
29,Adamantina,São Paulo,-21.682,-51.0737
30,Adelândia,Goiás,-16.4127,-50.1657
31,Adolfo,São Paulo,-21.2325,-49.6451
32,Adrianópolis,Paraná,-24.6606,-48.9922
33,Adustina,Bahia,-10.5437,-38.1113
34,Afogados da Ingazeira,Pernambuco,-7.74312,-37.631
35,Afonso Bezerra,Rio Grande do Norte,-5.49229,-36.5075
